Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belize,-0.004,-0.107,-0.052,-0.115,-0.173,-0.264,-0.351,-0.237,0.238,-0.223,-0.178,0.526,0.449,0.136,0.05,-0.316,0.241,0.134,0.662,0.635,-0.069,0.575,0.721,0.203,0.488,0.18,0.42,0.523,0.282,0.447,0.614,0.303,0.326,0.632,0.657,0.113,0.781,0.826,0.34,0.064,0.339,0.643,0.881,0.64,0.793,0.595,0.797,0.523,0.863,0.777,0.655,0.574,0.714,0.715,1.235,1.367,1.273,0.742,1.443,1.653
Benin,-0.117,-0.221,0.158,-0.21,-0.079,-0.03,-0.246,-0.096,0.359,0.366,-0.133,0.127,0.664,0.026,-0.343,-0.249,0.305,-0.084,0.479,0.428,0.175,0.218,0.564,0.559,0.428,0.329,1.015,0.67,-0.013,0.624,0.34,0.015,0.567,0.471,0.454,0.772,0.588,1.067,0.641,0.472,0.55,0.74,0.994,0.764,1.147,1.08,0.88,0.68,0.996,1.284,0.993,0.64,0.91,0.975,1.192,1.139,1.26,1.129,1.232,1.141
Bhutan,0.227,-0.265,-0.204,0.061,-0.574,0.186,-0.364,-0.474,0.1,-0.042,-0.252,-0.067,0.259,0.116,0.06,-0.077,-0.087,-0.258,0.348,0.045,0.166,-0.139,-0.291,-0.052,0.204,0.008,0.298,0.608,0.307,-0.004,0.216,-0.216,-0.256,0.257,0.431,0.204,-0.358,0.758,0.954,0.126,0.655,0.458,0.502,0.478,0.759,0.993,0.987,0.588,1.424,1.196,0.52,0.381,0.691,0.758,0.986,1.455,1.443,1.389,1.282,1.104
Bolivia (Plurinational State of),0.225,0.023,0.382,-0.118,0.258,-0.05,0.385,-0.13,0.497,0.236,-0.53,0.14,0.233,-0.092,-0.041,-0.15,0.368,0.426,0.237,0.327,0.246,0.378,0.516,0.375,0.451,0.557,0.817,0.459,0.274,0.32,0.742,0.195,0.519,1.02,0.856,0.427,1.018,1.014,0.461,0.504,0.822,1.125,0.901,1.091,1.052,1.18,0.787,0.663,0.991,0.986,1.46,1.152,0.919,1.321,1.772,1.015,1.251,0.816,1.248,1.667
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679,0.274,1.709,0.304,-0.022,0.129,1.078,0.627,1.537,1.549,1.163,1.11,0.607,0.152,0.633,1.917,1.427,1.436,1.011,1.169,1.809,1.371,1.902,1.89,1.749,1.498,2.356,2.119,1.996
Botswana,0.124,0.218,-0.466,-0.068,0.08,0.428,-0.451,-0.179,0.214,0.603,-0.121,-0.466,0.608,-0.738,-0.232,-0.714,0.292,-0.056,0.544,-0.013,-0.414,0.368,1.04,0.502,0.359,0.314,1.273,0.291,-0.234,0.84,0.167,0.951,0.704,-0.011,1.286,-0.175,0.077,1.036,0.736,-0.562,-0.055,0.532,1.105,0.277,1.496,-0.239,0.402,0.337,-0.118,1.164,0.218,0.816,0.923,0.328,2.024,1.821,0.328,1.004,1.833,0.82
Brazil,0.17,-0.191,0.169,-0.241,-0.098,0.037,0.071,-0.412,0.326,0.093,-0.165,0.088,0.427,-0.176,-0.15,-0.193,0.241,0.018,-0.009,0.299,0.184,0.28,0.469,0.295,0.11,0.298,0.701,0.457,0.143,0.44,0.47,0.381,0.522,0.612,0.781,0.506,0.694,1.282,0.602,0.552,0.759,1.059,0.975,0.804,1.117,0.817,0.98,0.72,0.941,1.107,0.812,1.052,0.963,1.169,1.6,1.49,1.348,1.17,1.532,1.449
British Virgin Islands,0.083,-0.005,0.153,0.152,-0.278,-0.043,-0.29,-0.343,0.335,0.037,-0.346,-0.107,0.157,-0.375,-0.3,-0.425,0.17,0.069,-0.125,0.706,0.472,0.005,0.498,0.126,-0.04,-0.004,0.426,0.416,-0.078,0.287,0.194,0.123,0.375,0.485,0.43,0.185,0.349,0.957,0.473,0.043,0.48,0.647,0.727,0.417,0.66,0.499,0.762,0.245,0.521,0.901,0.271,0.5,0.618,0.736,0.929,1.037,0.738,0.559,0.768,1.211
Brunei Darussalam,0.153,-0.051,-0.16,-0.036,-0.319,0.152,-0.184,-0.202,0.2,-0.002,-0.225,0.038,0.425,-0.221,0.031,-0.029,0.053,0.15,0.197,0.234,0.017,0.144,0.454,-0.111,0.06,0.011,0.424,0.415,0.011,0.41,0.221,0.199,0.043,0.229,0.334,0.221,0.571,1.163,0.419,0.3,0.432,0.552,0.725,0.562,0.822,0.472,0.491,0.317,0.704,0.797,0.429,0.686,0.885,0.869,1.043,1.519,1.067,1.076,1.283,1.263
Bulgaria,0.892,0.473,-0.258,-0.54,-0.463,1.143,0.019,0.411,-0.493,0.196,-0.154,0.119,-0.442,-0.211,0.376,-0.856,0.552,-0.725,0.154,-0.452,-0.043,-0.126,0.39,-0.017,-0.601,0.362,-0.483,0.133,0.415,0.805,-0.144,0.17,-0.29,1.621,0.26,-0.329,-0.306,0.807,0.717,1.202,1.646,0.848,0.173,0.522,0.213,0.581,1.895,1.189,1.302,1.378,0.436,1.692,1.491,1.236,1.495,1.955,1.013,2.251,2.208,2.176
