Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Honduras,-0.066,-0.151,-0.277,-0.101,-0.109,-0.074,-0.354,-0.343,0.278,-0.106,-0.181,0.255,0.544,-0.265,0.064,-0.122,0.384,0.281,0.398,0.425,0.077,0.465,0.593,0.084,0.147,0.126,0.375,0.545,0.229,0.33,0.507,0.501,0.212,0.781,0.9,0.12,0.86,1.091,0.451,0.13,0.39,0.804,0.763,0.65,1.127,0.765,0.932,0.709,0.948,0.928,0.843,0.752,1.022,0.778,1.223,1.449,1.095,0.819,1.252,1.853
Hungary,1.18,-0.414,-0.458,-0.872,-0.879,0.758,0.599,0.388,-0.272,-0.505,-0.062,0.393,-0.031,0.264,0.858,-0.275,0.549,-0.867,0.054,-0.611,0.158,0.116,1.004,-0.14,-1.054,0.374,-0.527,0.405,0.885,1.093,-0.033,0.924,0.086,1.761,0.65,-0.316,-0.125,1.102,0.626,1.764,1.42,1.453,0.74,0.582,0.268,0.723,2.166,1.518,1.637,0.831,0.915,1.755,1.185,2.248,2.103,1.929,1.383,2.579,2.411,2.048
Iceland,0.55,-0.273,-0.05,1.099,-0.136,-0.501,-0.599,-0.637,-0.902,-0.619,-0.012,0.82,-0.051,0.569,-0.39,0.37,-0.25,0.036,-1.321,0.3,-1.006,-0.349,-0.922,0.154,0.125,-0.117,0.666,-0.109,-0.201,0.148,0.757,0.215,0.206,-0.115,-0.349,0.545,0.417,0.223,0.489,0.316,0.623,0.834,1.855,1.305,0.518,1.103,1.169,0.821,0.98,1.233,1.041,0.763,0.776,1.706,0.462,1.453,1.736,0.859,1.366,0.798
India,-0.208,-0.486,-0.042,-0.032,-0.085,0.292,-0.206,-0.199,0.333,0.054,-0.49,0.025,0.319,0.034,-0.297,-0.001,0.17,-0.152,0.321,0.429,0.081,-0.009,-0.144,-0.116,0.185,0.176,0.567,0.499,-0.008,-0.074,0.185,0.031,0.214,0.09,0.208,0.319,-0.083,0.569,0.448,0.339,0.472,0.832,0.675,0.563,0.58,0.643,0.604,0.248,1.118,1.101,0.323,0.451,0.397,0.492,0.653,1.048,0.949,0.855,0.772,0.461
Indonesia,-0.093,-0.034,-0.131,-0.032,-0.243,0.072,-0.107,-0.032,0.189,0.15,-0.163,-0.024,0.282,-0.122,-0.107,0.02,0.129,0.108,0.183,0.233,0.167,-0.001,0.383,-0.183,0.073,0.044,0.449,0.369,0.07,0.12,0.203,0.264,0.206,0.267,0.344,0.387,0.397,0.997,0.265,0.271,0.515,0.608,0.567,0.524,0.702,0.416,0.485,0.278,0.586,0.797,0.349,0.443,0.782,0.768,0.789,1.455,0.968,0.881,1.056,1.259
Iran (Islamic Republic of),-0.051,0.259,0.692,-0.734,-0.319,0.716,-0.284,-0.245,-0.351,0.981,0.105,-0.937,-0.189,-0.666,-0.209,-0.549,0.401,0.275,0.697,0.551,0.683,-0.106,-0.093,0.144,0.233,0.212,0.525,0.701,0.219,0.726,0.386,-0.774,-0.029,0.804,0.692,0.238,0.647,1.157,1.634,1.188,1.491,1.666,0.883,1.463,0.807,1.822,0.857,1.135,1.166,2.2,1.335,1.09,1.638,1.063,1.835,1.64,1.746,2.036,1.616,1.36
Iraq,-0.173,0.896,0.453,-0.801,-0.118,0.981,-0.825,-0.262,0.255,0.675,-0.165,-0.723,-0.206,-0.411,-0.242,-0.787,0.279,0.124,1.22,-0.002,0.183,-0.495,-0.901,-0.072,-0.06,0.297,0.27,-0.014,0.069,0.243,0.533,-1.253,-0.549,0.92,0.276,0.718,0.212,1.187,1.805,0.87,1.171,1.048,0.848,0.954,0.404,1.5,0.854,1.033,0.72,2.536,0.749,1.145,1.139,1.075,1.808,1.513,1.452,2.303,1.639,1.781
Ireland,0.262,-0.689,-0.775,0.155,-0.558,-0.04,-0.018,0.054,-0.29,0.035,0.318,-0.288,0.341,-0.232,0.681,0.541,-0.299,0.239,-0.705,-0.076,0.355,0.131,0.382,0.306,-0.47,-0.757,-0.177,0.215,1.018,0.789,0.176,0.425,0.045,0.267,1.182,-0.02,0.966,0.927,1.062,0.555,0.538,0.821,1.015,0.887,1.164,1.148,1.346,0.846,0.814,-0.092,0.574,0.727,0.611,1.362,0.437,1.047,1.281,0.801,1.222,1.103
Isle of Man,0.359,-0.742,-0.817,0.096,-0.579,-0.101,0.105,0.026,-0.305,0.029,0.297,-0.205,0.28,-0.215,0.685,0.651,-0.351,0.199,-0.789,-0.044,0.275,0.059,0.364,0.335,-0.51,-0.704,-0.245,0.25,1.078,0.879,0.156,0.44,-0.054,0.257,1.153,-0.121,0.916,0.921,1.103,0.619,0.51,0.889,1.048,0.948,1.164,1.222,1.309,0.812,0.857,-0.123,0.672,0.611,0.453,1.507,0.402,1.11,1.374,0.886,1.184,1.211
Israel,-0.136,0.757,0.832,-0.613,-0.006,0.639,-0.903,-0.071,0.279,0.235,-0.336,-0.493,-0.472,-0.256,-0.42,-0.587,-0.013,-0.099,0.582,-0.229,-0.245,-0.595,-1.099,-0.246,-0.021,0.01,-0.364,-0.046,-0.239,-0.178,0.323,-1.111,-0.445,0.721,-0.23,0.258,-0.22,0.779,0.773,0.157,0.769,0.647,0.477,0.477,0.115,0.501,0.433,0.637,0.733,2.226,0.473,0.926,1.014,0.767,1.237,1.527,0.647,1.881,1.071,1.309
Italy,0.804,0.035,-0.355,0.14,-0.422,0.312,0.304,0.016,-0.104,-0.151,-0.153,-0.131,0.041,-0.111,0.072,-0.321,0.293,-0.522,0.034,-0.414,-0.271,0.516,0.387,-0.449,0.135,0.457,0.197,0.84,0.422,1.14,0.039,0.546,0.533,1.528,0.436,0.252,0.943,0.966,0.92,1.254,1.553,0.938,1.54,0.769,0.587,0.865,1.576,1.149,1.24,0.745,1.242,1.54,1.009,1.642,1.74,1.739,1.618,1.873,1.709,1.903
Jamaica,-0.092,-0.098,-0.168,-0.099,-0.282,-0.055,-0.203,-0.04,0.324,-0.161,-0.285,0.036,0.369,0.225,0.322,-0.277,0.0,0.0,0.0,0.672,0.92,0.413,0.72,0.271,0.299,0.318,1.179,1.019,0.584,0.61,0.675,0.856,0.475,0.968,0.932,0.252,0.768,1.246,0.603,0.292,0.549,0.794,0.961,0.791,0.881,0.877,0.825,0.438,0.703,1.225,0.476,0.603,0.87,1.091,1.15,1.291,1.074,1.543,1.46,1.558
Japan,0.666,0.121,-0.06,0.257,-0.527,0.015,0.027,-0.499,-0.046,-0.373,-0.328,0.23,0.329,-0.481,0.042,-0.505,-0.156,0.227,0.454,-0.21,-0.643,-0.057,0.087,-0.628,0.11,-0.702,0.309,-0.166,0.541,1.117,0.704,0.309,-0.011,0.947,0.323,-0.154,0.425,1.173,0.919,0.6,0.383,0.599,0.293,1.089,0.706,0.357,0.97,0.642,0.778,0.899,0.578,0.369,0.596,0.53,0.815,1.304,0.774,0.899,1.247,1.413
Jordan,-0.247,0.807,0.769,-0.649,-0.006,0.738,-0.991,-0.061,0.435,0.246,-0.37,-0.597,-0.538,-0.37,-0.56,-0.763,-0.049,-0.061,0.693,-0.2,-0.256,-0.736,-1.119,-0.303,-0.082,0.007,-0.222,-0.104,-0.157,-0.151,0.415,-1.219,-0.612,0.836,-0.154,0.377,-0.286,0.893,0.925,0.255,0.864,0.547,0.38,0.5,-0.02,0.628,0.394,0.582,0.427,2.484,0.362,0.922,0.893,0.69,1.345,1.573,0.871,1.899,1.222,1.569
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,-0.391,-0.06,2.026,-0.418,1.87,0.482,1.361,1.491,1.632,2.246,0.122,2.159,1.561,1.446,2.208,1.569,1.204,1.306,0.74,1.15,1.618,0.673,1.61,2.246,1.76,0.645,1.493,2.854
Kenya,0.26,-0.227,-0.173,-0.399,-0.244,0.148,0.003,-0.59,0.094,0.159,-0.291,0.193,0.501,-0.103,-0.092,0.193,0.147,-0.024,0.026,0.558,0.157,0.263,0.579,0.145,-0.07,0.121,0.717,0.611,-0.186,-0.025,0.264,0.418,0.067,0.502,0.376,0.424,0.495,0.228,0.218,0.504,0.59,0.72,0.868,0.673,0.794,0.799,0.505,0.685,1.289,1.104,1.05,0.945,0.87,0.956,1.16,1.259,1.512,0.635,1.611,1.332
Kiribati,-0.024,-0.109,-0.049,-0.161,-0.332,-0.002,-0.016,0.004,0.383,0.123,-0.436,-0.271,0.16,-0.146,-0.248,-0.24,0.124,0.227,0.151,0.194,0.229,0.148,0.096,-0.17,0.028,0.301,0.086,0.057,-0.225,0.205,0.189,0.099,-0.228,0.065,0.355,0.258,0.052,0.46,-0.196,0.071,0.353,0.454,0.537,0.0,0.0,0.517,0.563,0.327,0.669,0.618,0.634,0.734,0.934,1.073,1.028,1.296,1.107,1.014,1.015,1.307
Kuwait,-0.262,0.767,0.464,-0.796,0.031,0.776,-0.643,-0.279,0.361,0.514,-0.18,-0.784,-0.275,-0.341,-0.265,-0.672,0.339,-0.005,1.248,0.413,0.329,-0.234,-0.715,0.202,-0.045,0.421,0.661,0.389,0.083,0.33,0.478,-0.565,-0.125,0.952,0.192,0.908,0.519,1.345,2.075,1.177,1.301,1.631,1.584,1.54,0.751,1.93,1.113,1.431,1.258,2.546,1.329,1.538,1.433,1.505,2.083,1.586,1.925,2.315,1.834,1.911
Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,-0.092,0.285,0.46,-0.422,1.406,0.778,1.073,1.09,1.436,1.425,0.452,1.499,1.16,1.598,1.692,0.989,0.976,1.321,1.194,0.276,1.367,0.505,1.479,1.886,1.444,1.226,1.649,1.392
Lao People's Democratic Republic,0.083,-0.231,-0.401,-0.058,-0.159,0.472,-0.082,-0.11,0.505,-0.05,-0.515,-0.044,0.478,-0.424,0.237,-0.518,-0.02,0.133,0.458,0.452,0.433,0.168,0.259,0.073,0.257,0.015,0.94,0.3,0.26,0.419,0.688,0.199,0.302,0.394,0.623,0.143,0.333,1.432,0.663,0.039,0.721,0.601,0.977,0.401,0.878,0.834,0.556,0.244,0.612,1.322,0.092,0.92,1.085,0.66,1.314,1.324,1.071,0.814,2.053,1.605
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.575,0.388,0.674,1.61,-0.428,0.75,0.643,1.545,2.004,1.814,1.716,0.242,1.014,1.343,1.071,2.189,2.388,1.502,0.676,1.123,1.378,1.052,2.294,2.143,1.904,1.467,2.327,2.426,3.513
Lebanon,-0.013,0.801,0.766,-0.714,-0.089,0.702,-0.906,-0.054,0.25,0.417,-0.28,-0.635,-0.522,-0.225,-0.25,-0.666,0.067,0.005,0.681,-0.245,-0.009,-0.523,-0.986,-0.115,-0.046,0.194,-0.291,-0.043,0.079,0.007,0.356,-1.074,-0.492,1.005,0.011,0.363,-0.143,0.95,1.043,0.502,1.105,0.792,0.604,0.629,0.265,0.696,0.693,0.957,0.829,2.308,0.609,0.977,1.183,1.01,1.413,1.695,1.107,2.202,1.467,1.711
Lesotho,0.378,0.281,0.031,0.005,-0.079,0.238,-0.103,-0.367,0.494,0.492,-0.024,-0.111,0.115,-0.113,-0.157,-0.427,0.302,0.14,0.346,0.209,-0.267,0.313,1.045,0.38,0.821,0.529,0.618,0.494,0.022,0.364,0.524,0.969,1.016,0.09,0.709,-0.233,0.214,0.887,1.208,0.305,0.558,0.485,0.662,0.707,0.75,0.023,0.574,0.31,0.316,1.06,0.185,0.559,0.557,0.635,1.135,1.792,0.826,0.717,1.557,0.667
Liberia,-0.114,-0.108,0.123,-0.149,-0.27,0.055,-0.145,-0.071,0.157,0.292,-0.12,0.053,0.534,0.054,-0.082,-0.177,0.261,0.259,0.556,0.421,0.175,0.241,0.504,0.373,0.293,0.182,0.959,0.835,0.372,0.591,0.531,0.264,0.542,0.592,0.75,0.677,0.985,1.26,0.747,0.505,0.691,1.033,1.056,0.921,1.127,1.149,1.071,1.226,1.418,1.447,1.119,0.894,1.008,0.963,1.33,1.523,1.538,1.367,1.552,1.63
Libya,-0.484,0.167,0.198,-0.087,-0.105,0.212,-0.6,-0.043,0.755,-0.22,-0.233,0.137,-0.239,-0.114,-0.369,-0.426,0.349,-0.188,0.267,-0.038,0.039,0.062,-0.392,-0.143,0.016,0.147,-0.059,0.933,-0.08,0.543,0.226,-0.41,0.279,0.415,0.26,0.448,0.401,0.693,1.184,0.237,1.218,0.825,0.859,0.654,0.63,0.72,0.842,0.87,0.756,2.068,0.752,0.677,1.122,1.202,0.692,1.504,0.471,1.695,0.968,1.28
Liechtenstein,1.056,-0.478,-0.771,0.056,-0.835,0.411,0.545,0.013,-0.015,-0.553,-0.08,0.08,-0.019,0.184,0.692,0.303,0.276,-0.351,-0.079,-0.163,0.045,0.546,0.945,-0.366,-0.33,0.392,-0.034,0.942,1.101,1.322,0.197,1.101,0.647,1.939,0.911,-0.022,0.954,1.212,0.977,1.462,1.445,1.395,1.686,0.921,0.69,0.987,1.964,1.421,1.435,0.507,1.677,1.635,0.952,2.254,2.073,2.057,1.829,2.333,2.148,2.423
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.303,0.953,1.521,-0.512,0.526,0.747,1.494,2.03,1.809,1.92,0.189,0.886,1.21,0.926,2.2,2.225,1.394,0.756,0.949,1.357,0.96,2.23,2.096,1.94,1.535,2.423,2.638,3.43
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.648,1.43,1.391,1.694,1.016,1.131,1.358,1.943,1.28,1.185,0.321,1.338,1.26,0.57,2.462,1.516,1.864,1.639,2.46,2.151,2.633
Madagascar,0.562,-0.07,-0.305,-0.396,-0.583,-0.06,0.311,-0.413,0.416,0.25,-0.249,-0.074,0.112,-0.321,-0.282,-0.013,0.345,0.457,0.222,0.288,0.059,0.259,0.387,-0.133,0.054,-0.079,0.482,0.538,0.01,0.056,0.311,0.369,0.204,0.323,0.347,0.128,0.607,0.778,0.425,0.429,0.593,0.569,0.628,0.384,0.634,0.806,0.707,0.527,0.919,1.198,1.166,0.841,0.696,0.821,1.171,1.12,1.442,1.115,1.696,1.359
Malawi,0.366,-0.143,-0.428,-0.295,-0.547,0.145,0.123,-0.275,0.342,0.241,-0.27,-0.027,0.234,-0.28,-0.153,-0.07,0.488,0.236,0.124,0.221,-0.227,-0.116,0.85,0.228,-0.077,-0.006,0.519,0.599,0.073,0.546,0.091,0.653,0.005,0.215,0.74,0.496,0.656,0.937,0.163,0.697,0.587,0.684,0.937,0.871,1.34,1.05,1.054,0.482,0.696,0.966,0.629,0.865,0.788,1.055,0.991,1.31,1.22,1.039,1.225,1.361
Malaysia,-0.036,-0.088,-0.104,0.019,-0.24,0.138,-0.141,-0.093,0.224,0.096,-0.215,0.053,0.317,-0.193,-0.017,-0.14,0.14,0.254,0.351,0.276,0.214,0.213,0.559,-0.058,0.137,0.164,0.485,0.448,0.093,0.497,0.368,0.349,0.167,0.308,0.431,0.325,0.588,1.138,0.385,0.361,0.575,0.674,0.693,0.658,0.867,0.605,0.652,0.534,0.754,0.977,0.603,0.773,0.957,0.976,1.13,1.577,1.109,1.172,1.428,1.358
Maldives,0.0,-0.054,0.0,0.0,0.0,0.43,-0.16,-0.243,0.227,0.0,0.0,0.221,0.586,-0.133,-0.324,0.008,-0.019,-0.17,0.082,0.183,0.132,0.319,0.476,0.206,0.068,0.242,0.493,0.809,-0.011,0.579,0.615,0.225,0.241,0.44,0.707,0.453,0.58,0.919,0.311,0.277,0.475,0.634,0.535,0.404,0.859,0.402,0.45,0.225,0.556,0.683,0.538,0.526,0.592,0.672,0.806,0.846,0.707,0.65,0.918,0.933
Mali,-0.301,-0.162,0.203,-0.141,-0.316,0.012,-0.137,-0.297,0.673,0.403,0.032,0.317,0.538,-0.406,-0.445,-0.348,0.385,0.389,0.673,0.996,0.419,0.295,0.849,0.632,0.558,0.335,1.122,0.822,0.143,0.956,0.757,0.266,1.081,0.27,0.647,1.225,0.915,1.238,0.414,0.721,0.641,1.286,1.31,1.247,1.426,1.145,0.979,0.585,1.038,1.723,1.296,0.438,0.99,0.852,1.094,1.161,1.406,1.179,1.242,1.171
Malta,0.53,0.388,-0.145,0.306,-0.167,0.19,0.191,0.01,-0.088,-0.102,-0.226,-0.255,0.039,-0.193,-0.323,-0.644,0.365,-0.541,0.099,-0.459,-0.317,0.645,0.071,-0.244,0.443,0.398,0.503,1.156,0.184,1.211,0.12,0.245,0.588,1.377,0.42,0.6,1.016,0.84,1.25,1.067,1.677,0.934,1.353,0.649,0.612,0.909,1.314,1.148,0.884,1.073,0.831,1.289,1.222,1.419,1.429,1.682,1.142,1.344,0.949,1.238
Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.101,-0.054,0.225,0.045,0.139,0.05,0.031,-0.246,-0.132,0.192,0.352,0.318,0.458,0.335,0.257,0.262,0.014,0.217,0.383,0.198,0.55,0.544,0.607,0.5,0.804,0.611,0.397,0.605,0.719
Martinique,-0.067,0.131,0.222,0.034,-0.293,0.054,-0.268,-0.215,0.393,0.14,-0.226,-0.073,0.137,-0.422,-0.442,-0.445,0.05,0.108,0.218,0.386,0.424,0.119,0.444,-0.026,-0.065,-0.005,0.562,0.372,-0.078,0.258,0.33,0.258,0.381,0.493,0.586,0.376,0.557,0.981,0.409,0.14,0.39,0.535,0.644,0.355,0.669,0.567,0.65,0.201,0.391,1.031,0.446,0.538,0.539,0.474,0.71,0.87,0.625,0.407,0.576,0.845
Mauritania,-0.087,0.105,0.069,0.04,-0.543,0.117,-0.219,-0.473,0.613,0.706,-0.323,-0.064,0.48,-0.686,-0.315,-0.569,0.625,0.532,0.948,0.877,0.868,0.546,1.578,0.538,0.555,0.247,1.532,0.882,0.687,1.448,0.832,0.848,1.0,0.563,1.171,1.515,1.261,1.767,0.536,1.185,1.342,1.28,1.192,1.283,1.343,1.456,1.05,1.332,0.971,2.021,1.661,0.829,1.459,1.357,1.357,1.591,1.911,1.008,1.426,1.815
Mauritius,0.481,-0.099,-0.137,-0.249,-0.162,-0.013,0.086,-0.193,0.319,0.363,-0.293,0.173,-0.048,-0.669,-0.059,0.1,0.601,0.41,0.435,0.477,0.263,0.365,0.4,-0.122,0.06,0.296,0.762,0.579,0.199,0.356,0.629,0.301,0.283,0.697,0.577,0.304,0.861,1.105,0.399,0.386,0.77,0.674,0.961,0.575,0.625,0.441,0.77,0.57,1.193,1.347,1.178,0.954,1.102,1.051,1.382,1.362,1.562,1.299,1.762,1.467
Mayotte,0.333,-0.096,-0.234,-0.049,-0.488,0.1,0.17,-0.467,0.138,0.154,-0.75,-0.188,0.123,-0.568,-0.214,0.0,0.0,0.132,0.061,0.229,0.153,0.476,0.235,-0.545,-0.25,-0.044,0.336,0.323,-0.297,0.093,0.236,0.083,0.193,0.494,0.314,-0.046,0.314,0.716,0.161,0.156,0.318,0.764,0.437,0.343,0.483,0.262,0.717,0.532,0.891,1.135,0.877,0.782,0.678,0.872,1.098,1.003,1.239,1.028,1.588,1.336
Mexico,-0.127,0.215,0.248,-0.273,-0.062,-0.252,-0.112,-0.425,0.175,-0.303,-0.065,0.3,-0.168,-0.088,-0.332,-0.491,-0.001,0.173,-0.07,0.379,0.15,0.561,0.009,-0.119,0.069,0.268,-0.156,0.138,0.444,0.233,0.218,0.048,0.291,0.677,0.77,0.527,0.447,0.677,0.585,0.575,0.495,0.656,0.806,0.289,0.727,0.861,0.467,0.524,1.039,0.237,0.978,0.864,0.698,0.797,1.048,1.236,1.474,1.105,1.246,1.571
Micronesia (Federated States of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.115,-0.118,0.122,0.042,0.164,0.079,0.339,-0.152,-0.097,0.178,0.067,0.085,0.276,0.181,0.3,0.163,-0.076,0.234,0.367,0.153,0.415,0.425,0.378,0.36,0.747,0.764,0.616,0.658,0.667
Midway Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279,0.433,-0.783,0.531,0.587,0.606,-0.02,-0.282,-0.463,-0.305,-0.444,-0.123,-0.554,-0.416,0.906,-0.471,-0.864,-0.274,0.167,-0.351,-0.686,-0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,-0.722,-0.64,0.0,1.006,-0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,0.761,-0.028,-0.588,0.446,-0.435,0.235,0.45,0.009,-0.246,-0.046,-0.029,-0.145,0.265,-0.114,0.142,-0.018,-0.021,-0.397,-0.005,-0.335,-0.058,0.566,0.497,-0.608,-0.117,0.42,0.184,0.748,0.9,1.273,0.09,0.605,0.434,1.27,0.665,0.213,1.299,0.913,0.913,1.097,1.378,0.91,1.643,0.854,0.786,1.145,1.603,1.054,1.428,0.408,1.358,1.351,0.678,1.768,1.863,1.734,1.921,1.886,1.858,2.143
Mongolia,0.163,-0.117,1.198,-0.178,0.851,0.364,-0.46,-0.797,-0.855,-0.301,-0.038,0.225,0.693,0.198,0.493,-0.195,0.07,0.916,0.962,0.461,0.217,1.146,0.629,-0.309,-0.413,0.385,0.188,0.641,1.349,1.555,1.096,0.835,0.476,1.352,1.293,0.434,1.968,2.153,1.793,1.011,1.718,1.815,0.525,1.764,0.966,1.258,2.767,1.8,1.434,0.344,0.796,0.275,1.061,1.913,2.172,1.434,2.515,2.235,1.856,2.36
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,1.759,1.324,1.269,1.206,1.022,1.695,1.487,1.605,1.785,1.56,1.364,2.323,1.943,1.804
Montserrat,-0.005,0.015,0.252,0.101,-0.409,0.167,-0.152,-0.276,0.263,0.063,-0.294,-0.19,0.221,-0.349,-0.4,-0.472,0.157,0.135,0.128,0.663,0.567,0.19,0.474,-0.023,-0.089,-0.077,0.583,0.322,-0.177,0.241,0.318,0.276,0.364,0.373,0.522,0.274,0.431,0.992,0.439,0.186,0.0,0.499,0.65,0.331,0.651,0.382,0.637,0.085,0.322,0.961,0.382,0.484,0.556,0.487,0.811,0.889,0.665,0.506,0.763,1.098
Morocco,0.603,0.44,0.138,0.506,-0.274,0.454,-0.002,-0.155,-0.023,0.051,-0.816,-1.341,0.046,-0.462,-0.245,-0.857,0.054,0.345,0.456,0.497,0.428,0.425,0.699,0.181,0.753,0.202,1.009,0.911,0.597,1.323,0.057,0.149,0.199,0.855,1.121,0.895,1.207,1.484,1.028,0.909,1.812,1.199,1.69,1.133,1.284,1.49,1.032,1.18,1.274,2.145,1.835,1.445,1.362,1.751,1.256,1.948,2.232,0.638,1.579,2.172
Mozambique,0.398,0.039,-0.435,-0.179,-0.574,0.152,0.136,-0.326,0.353,0.284,-0.09,-0.265,0.22,-0.316,-0.178,-0.169,0.441,0.323,0.097,0.046,-0.232,-0.084,0.853,0.191,-0.069,0.001,0.59,0.49,0.048,0.3,0.108,0.773,0.299,0.116,0.564,0.091,0.214,0.887,0.234,0.23,0.422,0.503,0.541,0.39,1.076,0.528,0.66,0.263,0.487,0.895,0.728,0.647,0.42,0.671,0.967,1.189,0.915,0.836,1.185,0.968
Myanmar,-0.013,-0.122,-0.179,0.017,-0.323,0.388,-0.043,-0.168,0.192,-0.049,-0.415,-0.032,0.244,-0.277,0.113,-0.393,-0.071,0.075,0.491,0.284,0.277,0.048,0.112,0.037,0.141,0.045,0.523,0.386,0.352,0.221,0.546,0.09,0.115,0.477,0.661,0.39,0.274,1.208,0.927,0.236,0.691,0.734,0.719,0.673,1.004,0.893,0.583,0.586,1.028,1.326,0.651,1.044,1.109,1.009,1.308,1.539,1.434,1.181,1.879,1.869
Namibia,0.193,-0.074,0.42,-0.137,-0.026,0.07,-0.013,-0.18,0.21,0.465,-0.122,0.072,0.608,-0.744,-0.023,-0.602,0.136,-0.116,0.32,0.111,-0.067,0.268,0.593,0.667,0.4,0.177,0.891,0.254,-0.524,0.506,-0.045,0.409,0.518,-0.019,0.752,-0.094,-0.132,1.093,0.646,-0.227,0.182,0.583,1.003,0.705,1.083,-0.175,0.679,0.653,0.418,1.171,-0.499,-0.115,0.728,0.412,1.089,1.487,0.844,1.231,1.939,0.609
Nauru,-0.342,0.0,0.0,0.0,0.0,-0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.663,0.312,-0.004,-0.35,-0.554,0.258,0.215,-0.016,0.124,-0.397,0.0,-0.275,-0.203,0.0,0.0,0.0,-0.026,-0.405,-0.23,-0.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,0.134,-0.439,-0.212,0.16,-0.435,0.203,-0.283,-0.433,0.089,0.098,-0.544,0.041,0.213,0.2,-0.05,0.033,0.031,-0.365,0.35,0.19,-0.025,-0.094,-0.355,0.042,0.388,0.013,0.432,0.659,0.165,0.068,0.148,-0.002,-0.108,0.224,0.354,0.278,-0.322,0.405,0.715,0.168,0.534,0.633,0.397,0.456,0.789,0.919,0.602,0.387,1.252,1.282,0.374,0.526,0.341,0.453,0.67,1.192,1.123,0.654,0.67,-0.02
Netherlands,0.851,-0.909,-1.272,-0.338,-0.727,0.274,0.758,0.159,-0.004,-0.587,0.049,-0.114,0.291,0.228,1.032,0.704,0.155,-0.071,-0.906,0.007,0.336,0.464,0.869,0.062,-0.849,-0.194,-0.498,0.799,1.544,1.57,0.268,1.186,0.252,1.37,1.548,-0.772,0.617,1.073,1.579,1.6,1.274,1.531,1.209,1.16,1.251,1.505,2.068,1.425,1.219,0.094,1.061,1.141,0.421,2.555,1.282,1.924,1.723,2.127,2.136,2.482
