Country,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 Bolivia, BOL,84.39166666666667,75.75833333333333,76.90833333333335,87.02499999999999,85.16666666666667,80.53333333333333,79.96666666666667,85.33333333333333,80.45833333333333,83.08333333333333,86.3,92.10833333333333,94.33333333333333,92.38333333333333,94.75,90.80833333333334,101.72500000000001,98.23333333333333,100.94166666666666,95.47500000000001,111.08333333333333,110.39999999999999,96.39999999999999,112.71666666666665,96.54166666666667,95.52499999999999,89.55,88.95,81.06666666666666,94.73333333333333,91.825,94.73333333333333,91.16666666666667,89.81666666666666,69.80833333333334,87.39999999999999,94.53333333333335,92.24166666666667,91.73333333333333,96.59166666666665,97.77499999999999,89.175,92.075,93.22500000000001,81.91666666666667,94.06666666666666,91.13333333333333,92.66666666666667,100.58333333333333,84.95833333333333,95.60833333333333,91.49166666666667,96.05833333333334,99.29166666666667,85.75833333333333,77.875,89.21666666666665,101.85000000000001,78.89999999999999,77.52499999999999
 Bosnia and Herzegovina, BIH,80.83333333333333,86.89999999999999,94.69166666666666,103.43333333333334,92.88333333333333,103.65833333333335,87.51666666666667,92.74166666666667,104.16666666666667,100.175,71.94166666666666,91.47500000000001,77.7,102.24166666666667,78.83333333333333,102.24166666666667,90.86666666666667,97.64166666666667,97.94166666666666,99.8,96.74166666666667,83.06666666666666,67.99166666666666,96.96666666666665,82.51666666666667,86.98333333333333,86.8,81.33333333333333,80.55,69.175,97.31666666666666,80.06666666666666,82.08333333333333,78.26666666666667,104.40833333333335,105.50833333333333,82.65833333333333,91.85833333333333,107.47500000000001,70.68333333333334,96.22500000000001,99.21666666666665,69.88333333333334,104.71666666666665,105.78333333333335,82.64166666666667,87.71666666666665,87.175,96.19166666666666,122.34166666666665,64.74166666666666,83.01666666666667,105.68333333333334,123.70833333333333,85.68333333333334,99.75833333333333,79.7,88.77499999999999,104.05833333333334,83.89999999999999
 Botswana, BWA,36.78333333333333,29.875,36.333333333333336,19.858333333333334,18.05,35.94166666666667,43.30833333333334,33.85,32.75,22.958333333333332,32.80833333333334,35.541666666666664,37.208333333333336,53.88333333333333,38.041666666666664,45.675000000000004,45.791666666666664,42.108333333333334,28.15833333333333,33.40833333333333,36.225,25.7,27.808333333333337,22.675,25.791666666666668,29.333333333333332,26.741666666666664,41.0,34.25,23.974999999999998,37.358333333333334,18.616666666666667,25.358333333333334,24.25,27.125,35.03333333333333,36.46666666666667,31.28333333333333,29.974999999999998,37.891666666666666,34.875,29.400000000000002,29.425,34.56666666666666,30.883333333333336,35.00833333333333,29.541666666666668,33.24166666666667,33.074999999999996,38.775,38.75833333333333,30.075,32.11666666666667,31.066666666666666,28.724999999999998,31.366666666666664,36.63333333333333,31.566666666666666,31.46666666666667,33.18333333333333
 Brazil, BRA,138.725,142.20000000000002,135.82500000000002,155.24166666666667,147.275,144.24166666666667,142.53333333333333,144.35833333333332,140.57500000000002,144.74166666666667,147.76666666666668,149.36666666666667,158.1,160.85833333333332,153.83333333333334,146.86666666666667,149.96666666666667,149.48333333333332,149.9,146.17499999999998,139.2,145.42499999999998,141.375,146.34166666666667,160.5,144.275,136.21666666666667,146.26666666666668,159.80833333333334,137.67499999999998,139.85833333333332,142.85833333333332,140.53333333333333,149.53333333333333,147.975,149.70833333333334,148.55833333333334,145.525,148.10833333333332,156.65,147.75,150.57500000000002,142.03333333333333,149.24166666666667,149.31666666666666,151.9333333333333,142.15,154.32500000000002,158.09166666666667,146.26666666666668,152.45833333333334,139.13333333333333,149.21666666666667,145.04999999999998,135.07500000000002,133.975,135.54999999999998,146.44166666666666,137.92499999999998,139.25
 Brunei, BRN,219.42499999999998,289.59166666666664,259.89166666666665,236.01666666666665,287.2,277.52500000000003,258.0416666666667,235.375,243.0666666666667,252.75833333333333,256.21666666666664,216.79999999999998,275.825,274.8,257.0833333333333,233.6,268.1333333333333,201.6833333333333,269.68333333333334,274.94166666666666,296.69166666666666,229.98333333333335,254.98333333333335,305.425,253.25,261.53333333333336,219.10833333333335,324.9583333333333,236.00833333333333,209.91666666666666,212.20000000000002,204.40833333333333,218.16666666666666,228.84166666666667,275.4166666666667,288.80833333333334,226.475,235.01666666666665,316.80833333333334,297.925,279.76666666666665,228.19166666666663,255.67499999999998,230.03333333333333,266.15833333333336,288.81666666666666,294.93333333333334,333.09166666666664,297.18333333333334,323.81666666666666,308.43333333333334,272.72499999999997,284.925,263.18333333333334,236.875,210.42499999999998,310.25,297.125,244.08333333333334,305.0416666666667
 Bulgaria, BGR,50.775,51.416666666666664,53.625,50.14166666666666,44.10833333333333,65.97500000000001,45.85833333333333,47.875,54.69166666666666,52.61666666666667,59.69166666666667,52.30833333333333,53.375,47.449999999999996,58.06666666666666,52.89166666666667,49.10833333333333,54.958333333333336,61.333333333333336,56.916666666666664,52.050000000000004,46.03333333333333,46.416666666666664,48.050000000000004,37.03333333333333,41.94166666666667,51.974999999999994,47.125,43.166666666666664,39.31666666666667,52.291666666666664,41.59166666666667,39.725,46.50833333333333,61.49166666666667,50.166666666666664,56.041666666666664,58.324999999999996,54.5,34.63333333333333,44.09166666666667,55.96666666666667,48.5,50.00833333333333,64.29166666666667,54.23333333333333,54.89166666666667,40.608333333333334,59.458333333333336,62.333333333333336,42.141666666666666,52.44166666666666,48.01666666666667,75.25,60.00833333333333,55.083333333333336,60.14166666666667,57.19166666666667,44.708333333333336,49.90833333333333
 Burkina Faso, BFA,70.13333333333334,77.45833333333333,77.85833333333333,79.925,72.72500000000001,71.05,68.30833333333334,76.18333333333334,74.325,64.99166666666666,62.24166666666667,61.76666666666667,57.86666666666667,68.23333333333333,64.99166666666666,67.68333333333334,60.275000000000006,66.425,66.45,62.1,61.49166666666667,59.65833333333333,50.65,49.53333333333333,57.38333333333333,62.75,54.76666666666666,67.39166666666667,63.291666666666664,54.78333333333333,70.95833333333333,63.425000000000004,59.199999999999996,79.64999999999999,63.050000000000004,64.10000000000001,59.291666666666664,69.03333333333333,70.73333333333333,58.36666666666667,61.15833333333333,56.474999999999994,76.275,61.333333333333336,67.06666666666666,64.675,71.35833333333333,67.86666666666666,71.13333333333334,73.36666666666666,60.041666666666664,75.375,65.40833333333333,70.16666666666667,66.60833333333333,74.70833333333333,65.98333333333333,75.63333333333334,75.14999999999999,77.45833333333333
 Burundi, BDI,107.60000000000001,113.625,124.31666666666666,99.64166666666667,98.47500000000001,102.46666666666665,110.46666666666665,112.60833333333333,94.23333333333333,107.02499999999999,108.33333333333333,103.91666666666667,95.79166666666667,98.59166666666665,100.24166666666667,89.625,112.68333333333334,110.90833333333335,107.825,100.23333333333333,107.05833333333334,117.54166666666667,99.08333333333333,86.47500000000001,101.05,101.18333333333334,98.26666666666667,105.39166666666667,101.675,103.075,101.29166666666667,92.52499999999999,87.80833333333334,101.31666666666666,97.85000000000001,91.11666666666667,108.89999999999999,107.18333333333334,96.89166666666667,89.72500000000001,113.83333333333333,105.875,103.55833333333334,80.70833333333333,88.14166666666667,112.91666666666667,105.47500000000001,99.09166666666665,101.175,106.39999999999999,124.35833333333333,80.09166666666667,104.01666666666667,102.45833333333333,104.38333333333333,107.56666666666666,95.14999999999999,99.60000000000001,110.43333333333334,120.72500000000001
 Cambodia, KHM,177.92499999999998,150.525,166.54166666666666,156.175,148.45833333333334,171.63333333333333,139.85833333333332,142.66666666666666,161.625,167.57500000000002,149.15833333333333,167.18333333333334,138.24166666666667,168.18333333333334,162.81666666666666,162.75833333333335,133.6,161.86666666666667,152.83333333333334,168.94166666666666,152.56666666666666,152.1,178.45000000000002,167.21666666666667,158.83333333333334,160.64166666666668,148.36666666666667,173.1,147.04999999999998,163.38333333333333,146.40833333333333,139.00833333333333,127.19999999999999,173.04999999999998,161.49166666666667,160.6,139.70833333333334,159.25833333333333,167.54999999999998,173.70000000000002,164.33333333333334,157.5583333333333,152.30833333333334,146.125,149.50833333333333,173.65,191.78333333333333,151.95833333333334,159.98333333333332,149.5,179.85,157.5,180.49166666666667,159.3166666666667,143.16666666666666,150.275,175.21666666666667,152.34166666666667,147.56666666666666,155.8166666666667
 Cameroon, CMR,125.20833333333333,151.15833333333333,135.80833333333334,144.025,136.76666666666668,147.14166666666668,136.75,136.43333333333334,154.78333333333333,135.84166666666667,136.78333333333333,128.66666666666666,130.89166666666665,138.525,136.35833333333332,136.89166666666668,120.76666666666665,142.48333333333332,132.25833333333333,137.70000000000002,130.04999999999998,135.90833333333333,110.20833333333333,127.71666666666665,139.88333333333333,121.94166666666666,119.88333333333333,135.79166666666666,127.35833333333333,136.625,128.32500000000002,129.88333333333335,136.28333333333333,129.90833333333333,129.69166666666666,136.83333333333334,139.50833333333333,129.44166666666666,137.1,132.45000000000002,136.05833333333334,136.425,135.03333333333333,129.38333333333333,125.03333333333335,136.16666666666666,139.44166666666666,131.54999999999998,127.40833333333335,132.15833333333333,125.46666666666665,134.375,128.35833333333332,126.56666666666666,119.00833333333334,139.025,133.875,126.51666666666667,138.10833333333332,133.09166666666667
