Country,Type,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,Country area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0,8660.0
Azerbaijan,Cropland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.8,2026.3,2032.3,2035.8,2047.7,2062.0,2059.7,2061.8,2062.4,2062.7,2063.2,2064.3,2063.5,2064.7,2062.4,2078.7,2087.7,2101.1,2111.5,2112.9,2127.7,2155.6,2160.0,2174.7,2240.0,2341.3,2352.9
Azerbaijan,Cropland area actually irrigated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.0,1376.0,1376.0,1376.0,1378.0,1376.5,1377.6,1379.5,1357.4,1357.8,1357.9,1361.5,1367.9,1373.4,1374.2,1378.6,1386.4,1390.4
Bahamas,Country area,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0,1388.0
Bahamas,Cropland,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Bahrain,Country area,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,73.0,74.0,74.0,75.0,76.0,76.0,76.2,76.7,77.0,77.0,77.1,77.8,77.9,78.0,78.0
Bahrain,Cropland,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.2,5.2,5.2,4.9,4.7,4.7,4.55,4.4,4.2,4.36,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
Bangladesh,Country area,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14763.0,14763.0,14763.0,14797.7,14757.0
Bangladesh,Cropland,8880.0,8877.0,8880.0,8920.0,9037.0,9050.0,9095.0,9069.0,9075.0,9097.0,9095.0,9391.0,9389.0,9389.0,9404.0,9398.0,9391.0,9387.0,9383.0,9387.0,9381.0,9378.0,9364.0,9460.0,9427.0,9441.0,9515.0,9827.0,9843.0,9786.0,9720.0,8949.0,8846.0,8758.0,8774.0,8727.0,8765.0,8834.0,8886.0,8800.0,8803.0,8753.0,8728.0,8723.0,8711.0,8680.0,8666.0,8653.0,8646.0,8641.0,8528.0,8520.0,8508.0,8499.0,8562.24,8594.21,8587.33,8602.3
Bangladesh,Cropland area actually irrigated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5373.0,5402.0,5448.0,5490.0,5527.0,0.0
